"club"	"gender"	"drinks"	"time"	"leavealone"
"1"	"Blechnerei"	"F"	4	12	0
"2"	"Blechnerei"	"M"	4	83	1
"3"	"Blechnerei"	"M"	5	43	1
"4"	"Kantine"	"F"	3	94	0
"5"	"Barrys"	"F"	3	101	1
"6"	"Barrys"	"M"	6	155	1
"7"	"Blechnerei"	"F"	4	120	0
"8"	"Blechnerei"	"M"	4	148	1
"9"	"Kantine"	"M"	6	150	1
"10"	"Kantine"	"M"	1	91	0
"11"	"Blechnerei"	"F"	5	145	1
"12"	"Kantine"	"M"	1	148	0
"13"	"Barrys"	"F"	1	158	1
"14"	"Kantine"	"M"	4	90	1
"15"	"Blechnerei"	"F"	1	120	1
"16"	"Blechnerei"	"F"	4	153	1
"17"	"Kantine"	"M"	4	181	0
"18"	"Blechnerei"	"F"	5	152	1
"19"	"Kantine"	"M"	4	186	1
"20"	"Barrys"	"M"	4	112	1
"21"	"Blechnerei"	"M"	5	110	0
"22"	"Barrys"	"F"	5	220	1
"23"	"Barrys"	"F"	4	181	1
"24"	"Barrys"	"F"	4	43	1
"25"	"Kantine"	"M"	3	123	0
"26"	"Barrys"	"M"	5	40	1
"27"	"Kantine"	"M"	4	212	0
"28"	"Barrys"	"M"	4	173	0
"29"	"Barrys"	"F"	1	172	1
"30"	"Barrys"	"F"	4	102	1
"31"	"Blechnerei"	"F"	4	162	1
"32"	"Kantine"	"M"	5	208	1
"33"	"Kantine"	"M"	4	158	0
"34"	"Blechnerei"	"M"	6	131	1
"35"	"Blechnerei"	"M"	6	158	1
"36"	"Blechnerei"	"F"	5	221	1
"37"	"Barrys"	"M"	3	112	1
"38"	"Blechnerei"	"M"	7	201	1
"39"	"Blechnerei"	"F"	3	64	0
"40"	"Blechnerei"	"M"	6	94	0
"41"	"Barrys"	"F"	3	125	1
"42"	"Barrys"	"F"	4	157	1
"43"	"Barrys"	"F"	3	113	1
"44"	"Kantine"	"M"	4	216	0
"45"	"Blechnerei"	"M"	6	155	1
"46"	"Barrys"	"F"	4	122	0
"47"	"Blechnerei"	"F"	4	109	1
"48"	"Kantine"	"M"	7	214	1
"49"	"Barrys"	"F"	5	113	1
"50"	"Barrys"	"M"	2	103	1
"51"	"Barrys"	"M"	4	168	1
"52"	"Barrys"	"F"	3	167	1
"53"	"Barrys"	"F"	1	120	1
"54"	"Kantine"	"M"	4	151	1
"55"	"Kantine"	"M"	2	120	1
"56"	"Kantine"	"F"	2	121	1
"57"	"Barrys"	"F"	2	169	1
"58"	"Barrys"	"M"	3	132	1
"59"	"Kantine"	"M"	3	131	1
"60"	"Barrys"	"M"	2	151	1
"61"	"Blechnerei"	"F"	4	151	1
"62"	"Kantine"	"M"	3	155	1
"63"	"Kantine"	"F"	3	52	1
"64"	"Blechnerei"	"M"	4	219	1
"65"	"Blechnerei"	"F"	5	89	1
"66"	"Blechnerei"	"M"	5	199	1
"67"	"Barrys"	"M"	5	190	1
"68"	"Barrys"	"F"	2	161	1
"69"	"Blechnerei"	"F"	4	161	1
"70"	"Barrys"	"M"	5	104	1
"71"	"Blechnerei"	"F"	5	174	0
"72"	"Kantine"	"F"	4	85	1
"73"	"Blechnerei"	"F"	4	66	1
"74"	"Barrys"	"F"	3	117	1
"75"	"Barrys"	"F"	3	108	1
"76"	"Blechnerei"	"F"	6	174	1
"77"	"Blechnerei"	"F"	4	179	0
"78"	"Barrys"	"F"	4	166	1
"79"	"Kantine"	"M"	5	249	0
"80"	"Blechnerei"	"F"	5	240	0
"81"	"Barrys"	"M"	4	246	1
"82"	"Blechnerei"	"F"	6	127	1
"83"	"Blechnerei"	"F"	6	132	1
"84"	"Kantine"	"M"	5	112	1
"85"	"Blechnerei"	"M"	4	127	1
"86"	"Kantine"	"F"	2	52	0
"87"	"Barrys"	"M"	5	171	1
"88"	"Blechnerei"	"M"	4	167	0
"89"	"Kantine"	"F"	2	137	0
"90"	"Kantine"	"F"	6	116	1
"91"	"Kantine"	"M"	2	56	0
"92"	"Barrys"	"M"	5	151	1
"93"	"Barrys"	"F"	2	183	1
"94"	"Barrys"	"F"	2	146	1
"95"	"Blechnerei"	"F"	3	123	1
"96"	"Kantine"	"M"	4	146	1
"97"	"Barrys"	"F"	3	105	1
"98"	"Barrys"	"F"	4	190	1
"99"	"Blechnerei"	"F"	3	125	1
"100"	"Barrys"	"F"	3	138	1
"101"	"Barrys"	"F"	7	193	1
"102"	"Kantine"	"M"	6	249	0
"103"	"Blechnerei"	"M"	8	245	1
"104"	"Blechnerei"	"M"	5	124	0
"105"	"Blechnerei"	"M"	6	146	0
"106"	"Kantine"	"M"	3	124	1
"107"	"Blechnerei"	"F"	2	124	0
"108"	"Kantine"	"F"	3	130	1
"109"	"Blechnerei"	"M"	4	69	0
"110"	"Barrys"	"M"	5	97	1
"111"	"Blechnerei"	"F"	5	3	1
"112"	"Blechnerei"	"F"	5	154	1
"113"	"Blechnerei"	"F"	7	120	1
"114"	"Barrys"	"M"	4	122	1
"115"	"Kantine"	"F"	3	72	0
"116"	"Blechnerei"	"M"	8	133	1
"117"	"Barrys"	"F"	4	122	1
"118"	"Kantine"	"F"	5	202	0
"119"	"Blechnerei"	"M"	5	161	0
"120"	"Blechnerei"	"M"	5	167	1
"121"	"Barrys"	"M"	4	102	1
"122"	"Kantine"	"F"	5	183	1
"123"	"Blechnerei"	"F"	5	124	0
"124"	"Kantine"	"M"	4	118	1
"125"	"Barrys"	"F"	2	94	1
"126"	"Blechnerei"	"F"	2	101	1
"127"	"Kantine"	"M"	4	23	1
"128"	"Blechnerei"	"M"	4	132	0
"129"	"Barrys"	"M"	4	83	1
